dataset,scheme,method,missing_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
breast_cancer,mcar,naive,0.1,0.9701754385964912,0.014678246079545187,0.9644841269841271,0.01790392900939049,0.958678539166344,0.020625865451446086,0.990079365079365,0.005042311733457963
breast_cancer,mcar,naive,0.2,0.968421052631579,0.015935001863671,0.961111111111111,0.01945810582605927,0.9559044462791156,0.022723357864831754,0.9880952380952381,0.00512832751960012
breast_cancer,mcar,naive,0.3,0.9701754385964912,0.01921833535105842,0.9644841269841271,0.02334407821384947,0.958558093517443,0.027337805760282278,0.9894179894179894,0.007188182909816197
breast_cancer,mcar,naive,0.4,0.9666666666666666,0.013010874538764336,0.9597222222222221,0.01628012160692932,0.9536131284720764,0.01880634849558723,0.9893518518518519,0.007944770830923403
breast_cancer,mcar,naive,0.5,0.9666666666666666,0.015691705105261675,0.9607142857142857,0.019397314927706792,0.9537880441627136,0.022391965816423588,0.9886243386243386,0.00840038219445105
breast_cancer,mcar,oracle,0.1,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mcar,oracle,0.2,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mcar,oracle,0.3,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mcar,oracle,0.4,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mcar,oracle,0.5,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mcar,unlabeled,0.1,0.968421052631579,0.015935001863671052,0.9630952380952381,0.019483379386297593,0.9563568189331708,0.02263387958390073,0.9911375661375661,0.0038663616145671966
breast_cancer,mcar,unlabeled,0.2,0.9614035087719298,0.01330329025272204,0.9555555555555555,0.013482577197297231,0.9469629989766121,0.018015237735450787,0.9878968253968253,0.004027066383166866
breast_cancer,mcar,unlabeled,0.3,0.9614035087719298,0.018189860836252358,0.9575396825396826,0.021660179126414443,0.9471911372057068,0.02564383386105632,0.9933862433862434,0.006265639987267327
breast_cancer,mcar,unlabeled,0.4,0.9631578947368421,0.02511898432153748,0.9579365079365079,0.027101678477844372,0.9493905937338203,0.03471757986954377,0.9884920634920634,0.008960358857222258
breast_cancer,mcar,unlabeled,0.5,0.9666666666666666,0.013010874538764358,0.9617063492063492,0.01652016583798991,0.9540669004516568,0.018761473790559865,0.9903439153439153,0.0073402270578332455
breast_cancer,mnar,naive,0.1,0.9719298245614034,0.015691705105261692,0.9638888888888889,0.01915479108912254,0.9605984846387023,0.02227178724255765,0.9881613756613756,0.005720039235566066
breast_cancer,mnar,naive,0.2,0.9666666666666666,0.011437197202109952,0.9557539682539684,0.015490174797049063,0.9526370648321867,0.017289331628866016,0.9883597883597884,0.008271824101254517
breast_cancer,mnar,naive,0.3,0.9526315789473685,0.02112560452419701,0.9357142857142857,0.028670463282838766,0.9304873294346978,0.03306187414086781,0.9861772486772488,0.010823145457315712
breast_cancer,mnar,naive,0.4,0.7385964912280703,0.09018465377175354,0.6452380952380953,0.12239345869023692,0.40069547938400396,0.326366365730615,0.8548941798941799,0.16119724204198316
breast_cancer,mnar,naive,0.5,0.6368421052631579,0.011768778828946289,0.5071428571428571,0.015971914124998488,0.026666666666666665,0.05962847939999439,0.5761904761904761,0.11172810904814386
breast_cancer,mnar,oracle,0.1,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mnar,oracle,0.2,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mnar,oracle,0.3,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mnar,oracle,0.4,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mnar,oracle,0.5,0.9736842105263157,0.016410778012166415,0.9682539682539684,0.019121364352575804,0.963557987272357,0.022935123432123165,0.9918650793650794,0.004573784497888934
breast_cancer,mnar,unlabeled,0.1,0.9614035087719298,0.01330329025272204,0.9575396825396826,0.01564506459262258,0.9473115828546078,0.018414659051966847,0.9908068783068783,0.005995398642015634
breast_cancer,mnar,unlabeled,0.2,0.9543859649122807,0.02094269541458477,0.95,0.0235873396408503,0.937683309585956,0.028925517315837593,0.990079365079365,0.010527617314637366
breast_cancer,mnar,unlabeled,0.3,0.9649122807017545,0.02057199894659399,0.9563492063492063,0.024290366164077964,0.9507295305884785,0.029642439431791456,0.9899470899470899,0.011762915227917156
breast_cancer,mnar,unlabeled,0.4,0.8087719298245615,0.14136149303956033,0.7950396825396826,0.13717515568466696,0.7501969406905037,0.16127821520389235,0.8644510582010583,0.17735261909785213
breast_cancer,mnar,unlabeled,0.5,0.6350877192982456,0.25283860912707223,0.6843253968253968,0.1740448097617067,0.6738308665137933,0.13392571105144171,0.8290013227513228,0.14234144515703154
ionosphere,mar1,naive,0.1,0.8901408450704226,0.023143206655147883,0.8567826086956523,0.032566059082406486,0.9197148409706013,0.015963958593752117,0.9132173913043479,0.036986688455082684
ionosphere,mar1,naive,0.2,0.8845070422535212,0.011783944035691257,0.8469565217391304,0.01115283072902664,0.9160785171300635,0.009319542833957058,0.9076521739130434,0.04073706551307118
ionosphere,mar1,naive,0.3,0.8732394366197184,0.02816901408450706,0.8309565217391304,0.03332460503242473,0.908798185941043,0.01988391917663895,0.889913043478261,0.05135811478852565
ionosphere,mar1,naive,0.4,0.8704225352112676,0.023143206655147883,0.8287826086956521,0.02771956513214653,0.9065083804298798,0.016466405826875193,0.8904347826086957,0.05765748549208786
ionosphere,mar1,naive,0.5,0.876056338028169,0.02519513214084275,0.8331304347826087,0.03236926591971886,0.9110534365029181,0.017235044588790577,0.9029565217391304,0.04332843751122881
ionosphere,mar1,oracle,0.1,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar1,oracle,0.2,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mar1,oracle,0.3,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
