dataset,scheme,method,missing_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
ionosphere,mcar,naive,0.5,0.8676056338028169,0.007714402218382611,0.8211304347826086,0.008389163953198699,0.9054064181928396,0.005956576640065156,0.8841739130434784,0.05302708228421169
ionosphere,mcar,oracle,0.1,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,oracle,0.2,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,oracle,0.3,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,oracle,0.4,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,oracle,0.5,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mcar,unlabeled,0.1,0.8901408450704225,0.03362629967975586,0.8549565217391304,0.040999561987609116,0.920086994497893,0.023974040595022263,0.8902608695652173,0.030319034554759573
ionosphere,mcar,unlabeled,0.2,0.876056338028169,0.027092090227706155,0.8349565217391305,0.037243895479294194,0.910801309722809,0.018210446962587647,0.8862608695652174,0.03750941910692737
ionosphere,mcar,unlabeled,0.3,0.8816901408450704,0.018896349105632055,0.8466086956521739,0.02993755315397172,0.9137421572821902,0.012638226470019097,0.8594782608695652,0.06756527334785889
ionosphere,mcar,unlabeled,0.4,0.8647887323943662,0.02136021251845513,0.8280869565217392,0.03329509463918273,0.901313497160406,0.014679412316664132,0.8332173913043478,0.06149799818464288
ionosphere,mcar,unlabeled,0.5,0.8647887323943662,0.025585777640260488,0.8262608695652174,0.02271837942515061,0.9013626312409879,0.020424631341880318,0.8576521739130435,0.05950139392499148
ionosphere,mnar,naive,0.3,0.8873239436619718,0.022269560987101276,0.860086956521739,0.023499185522627086,0.9162631944524614,0.016933039446926857,0.9095652173913044,0.03832011223744468
ionosphere,mnar,oracle,0.3,0.8873239436619718,0.01991850087849434,0.8509565217391305,0.027695686301255386,0.9181320530316732,0.013542596122145308,0.9078260869565218,0.034476917567998276
ionosphere,mnar,unlabeled,0.3,0.8647887323943662,0.027455758717771735,0.8280869565217392,0.03357073619869686,0.9013024164597686,0.019794055600897174,0.8869565217391304,0.04467060709231761
madelon,mar1,naive,0.3,0.5207692307692307,0.024454099013864344,0.5207692307692308,0.024454099013864403,0.5145220187035839,0.029502495818411016,0.5299704142011834,0.025413746973643254
madelon,mar1,oracle,0.3,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mar1,unlabeled,0.3,0.61,0.03354101966249684,0.61,0.03354101966249684,0.6048821317697797,0.026319449507592765,0.633846153846154,0.03310619283960075
madelon,mar2,naive,0.3,0.5230769230769231,0.020487765146790876,0.5230769230769231,0.02048776514679091,0.5103004637134013,0.024544159915991445,0.5415147928994083,0.02599918164756182
madelon,mar2,oracle,0.3,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mar2,unlabeled,0.3,0.6161538461538462,0.017016786004329983,0.6161538461538462,0.017016786004329914,0.6101574507230522,0.015441817212502611,0.6341923076923077,0.011272716406631654
madelon,mcar,naive,0.1,0.5273076923076923,0.012857318961882181,0.5273076923076923,0.012857318961882217,0.5223264775976346,0.01155785822640155,0.5444437869822486,0.013157864510643298
madelon,mcar,naive,0.2,0.523076923076923,0.013253893030855977,0.523076923076923,0.013253893030855977,0.5170444180136944,0.014078885447087491,0.5349733727810652,0.019621584716306043
madelon,mcar,naive,0.3,0.5238461538461539,0.01679805215532495,0.5238461538461539,0.016798052155324972,0.513595469708654,0.013134672457544745,0.5312485207100591,0.01291415712661173
madelon,mcar,naive,0.4,0.5269230769230769,0.019469669933958267,0.5269230769230769,0.0194696699339583,0.5187362305305324,0.02414342077229647,0.5343994082840237,0.013210802936979151
madelon,mcar,naive,0.5,0.5326923076923077,0.011854642313401885,0.5326923076923077,0.011854642313401944,0.5243853914530888,0.026046741282810038,0.5377603550295857,0.017236637258536056
madelon,mcar,oracle,0.1,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mcar,oracle,0.2,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mcar,oracle,0.3,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mcar,oracle,0.4,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mcar,oracle,0.5,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mcar,unlabeled,0.1,0.6242307692307693,0.015056599331587204,0.6242307692307693,0.01505659933158716,0.6202155293512326,0.015080638819221732,0.6423387573964497,0.017077138933485524
madelon,mcar,unlabeled,0.2,0.6211538461538462,0.013113636247101783,0.6211538461538462,0.013113636247101738,0.6168376131447595,0.012420134846850261,0.6439334319526627,0.017542122823127677
madelon,mcar,unlabeled,0.3,0.6203846153846154,0.012358668471584313,0.6203846153846154,0.012358668471584282,0.6153876873496005,0.014272364041367029,0.6430813609467456,0.018284313599987726
madelon,mcar,unlabeled,0.4,0.6142307692307692,0.006171848667646628,0.6142307692307692,0.006171848667646595,0.6091719389467292,0.009521463754465633,0.62898224852071,0.008862924673792988
madelon,mcar,unlabeled,0.5,0.6061538461538462,0.021345287577710165,0.6061538461538462,0.021345287577710197,0.6039928618256105,0.020382128512253905,0.6169526627218935,0.02040095831502934
madelon,mnar,naive,0.3,0.5196153846153846,0.020187728418477987,0.5196153846153846,0.020187728418477987,0.4644670756516813,0.020418654039773353,0.533905325443787,0.019354452626987904
