dataset,scheme,method,seed,missing_rate,status,accuracy,balanced_accuracy,f1,roc_auc,train_size,valid_size,test_size,n_features_before_preprocessing,n_features_after_preprocessing,observed_label_fraction_train,label_completion_method
breast_cancer,mcar,oracle,46,0.1,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.8504398826979472,
breast_cancer,mcar,oracle,46,0.2,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.7419354838709677,
breast_cancer,mcar,oracle,46,0.3,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.6480938416422287,
breast_cancer,mcar,oracle,46,0.4,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.5542521994134897,
breast_cancer,mcar,oracle,46,0.5,ok,0.9824561403508771,0.9811507936507937,0.9761904761904762,0.9930555555555555,341,114,114,30,25,0.4574780058651026,
breast_cancer,mcar,unlabeled,42,0.1,ok,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9933862433862434,341,114,114,30,25,0.8797653958944281,logistic
breast_cancer,mcar,unlabeled,42,0.2,ok,0.9473684210526315,0.9434523809523809,0.9285714285714286,0.9930555555555556,341,114,114,30,25,0.7771260997067448,logistic
breast_cancer,mcar,unlabeled,42,0.3,ok,0.9473684210526315,0.9434523809523809,0.9285714285714286,0.9937169312169313,341,114,114,30,25,0.6803519061583577,logistic
breast_cancer,mcar,unlabeled,42,0.4,ok,0.9473684210526315,0.9434523809523809,0.9285714285714286,0.9937169312169313,341,114,114,30,25,0.5747800586510264,logistic
breast_cancer,mcar,unlabeled,42,0.5,ok,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9957010582010581,341,114,114,30,25,0.5161290322580645,logistic
breast_cancer,mcar,unlabeled,43,0.1,ok,0.9649122807017544,0.9672619047619048,0.9534883720930233,0.984457671957672,341,114,114,30,24,0.8885630498533724,logistic
breast_cancer,mcar,unlabeled,43,0.2,ok,0.9649122807017544,0.9672619047619048,0.9534883720930233,0.984457671957672,341,114,114,30,24,0.8005865102639296,logistic
